,id,created_utc
0,50j542,1472673174
1,50j4ws,1472673112
2,508y12,1472525692
3,502r08,1472436747
4,50028p,1472401152
5,4zu3px,1472302423
6,4zrlm0,1472254957
7,4zg4po,1472089833
8,4z3ovn,1471911671
9,4z26mc,1471892769
10,4yy0i2,1471826247
11,4yy0d5,1471826194
12,4yxg9h,1471817860
13,4ywdph,1471805150
14,4yvkse,1471795860
15,4yqbr8,1471716738
16,4ymuv5,1471661235
17,4ymdw1,1471654465
18,4yk2vh,1471626401
19,4yg3xy,1471570276
20,4y3eab,1471402543
21,4y3612,1471399104
22,4y2x58,1471395509
23,4y1qw8,1471380258
24,4xw8r2,1471300376
25,4xvof2,1471293367
26,4xvbw2,1471289323
27,4xotds,1471192326
28,4xczwa,1471000277
29,4x5whu,1470883655
30,4x574n,1470873377
31,4x55m1,1470872803
32,4x55jw,1470872780
33,4wrnuu,1470680888
34,4wo2sr,1470624129
35,4w58g7,1470326543
36,4vw2g4,1470188078
37,4vr3kl,1470118832
